state,year,wage_precarity,informality,casual_share,self_reg_ratio,ILMSI
Andhra Pradesh,2022_23,0.7660143133901217,72.8,31.3,1.2847214629991808,82.2064220381836
Andhra Pradesh,2023_24,0.92685009497831,72.4,28.7,1.0792649577195743,89.1335579364096
Andhra Pradesh,2025,0.7995135864303086,71.5,29.8,1.2744307122580214,81.84772905039807
Arunachal Pradesh,2022_23,0.545630385333135,48.7,4.9,2.7481322088718407,20.31548701437732
Arunachal Pradesh,2023_24,0.5541057097463817,56.2,4.3,2.429564844702195,27.524004780718226
Arunachal Pradesh,2025,0.34101449104952386,55.2,7.1,2.091244204303587,24.782923237452138
Assam,2022_23,0.7723493450424554,84.8,31.9,1.5964865547749205,84.46093368614903
Assam,2023_24,0.7764179198045049,76.4,19.7,1.5994646329403115,70.05758784339166
Assam,2025,0.8788332204763218,79.1,22.4,1.5510137962423716,78.60118687973232
Bihar,2022_23,0.6261998244672164,87.7,27.6,1.6796242258901062,74.72820188272456
Bihar,2023_24,0.782230495313869,89.4,23.8,1.3161763993371944,83.3254487837778
Bihar,2025,0.7177667590302316,89.1,23.3,1.4504124428896363,78.32750095099543
Chhattisgarh,2022_23,0.5652466024670224,78.8,18.1,1.7826004466491432,58.469546727013174
Chhattisgarh,2023_24,0.46539598475011473,77.8,18.5,1.9045681072379108,52.607511675667396
Chhattisgarh,2025,0.5855597743652784,76.2,18.9,1.3677831745489357,64.09596013224773
Delhi,2022_23,1.1539992806737818,65.9,5.8,0.5578164025508467,82.1950393929407
Delhi,2023_24,1.092645403787109,66.9,6.1,0.8299250568773765,76.88120601575015
Delhi,2025,0.643008991080355,58.4,6.2,1.150062933930224,50.075209268781386
Goa,2022_23,0.9030756608316769,49.2,7.7,1.0449657696254901,59.61168543287837
Goa,2023_24,1.0783436207846904,54.0,9.1,0.5063558136636114,77.21182798667449
Goa,2025,1.010408115815496,59.2,9.5,0.8837445787831105,72.26560708919806
