state,year,EMP STATUS,ENTERPRISE,INDUSTRY,LFPR,WAGE CASUAL,WAGE REGULAR,WAGE SELF,WPR
Madhya Pradesh,2025,19.8,79.5,1.32,48.7,368.36,17207.94,13230.03,48.0
Maharashtra,2022_23,22.1,60.0,2.07,46.7,315.76,15323.52,15796.05,45.3
Maharashtra,2023_24,21.7,59.8,2.41,46.8,349.63,17247.47,14872.14,45.3
Maharashtra,2025,20.3,59.6,2.35,47.4,349.99,18366.54,15653.83,46.3
Manipur,2022_23,5.3,70.7,1.22,37.3,591.1,21741.59,12101.09,35.5
Manipur,2023_24,4.9,69.5,1.04,44.4,567.83,27893.47,11229.48,41.7
Manipur,2025,6.5,76.8,1.09,46.6,510.21,27969.61,12051.92,44.2
Meghalaya,2022_23,34.2,45.5,3.42,43.8,438.01,21874.82,8881.41,41.2
Meghalaya,2023_24,30.9,41.6,2.62,50.7,389.67,21182.36,11722.31,47.6
Meghalaya,2025,39.1,55.9,2.91,44.6,427.58,17450.11,11950.21,42.5
Mizoram,2022_23,4.9,55.9,1.41,41.7,465.37,32830.45,15407.23,40.7
Mizoram,2023_24,6.0,57.7,1.95,40.4,463.2,31171.38,19810.86,39.5
Mizoram,2025,9.1,60.8,1.18,37.2,620.11,36307.68,21428.92,36.3
Nagaland,2022_23,5.4,39.5,0.2,47.8,439.51,26016.09,10291.23,45.8
Nagaland,2023_24,5.5,43.3,0.45,49.1,482.83,28438.18,11081.09,45.7
Nagaland,2025,9.7,37.5,1.17,54.9,501.15,27201.2,6293.99,51.2
Odisha,2022_23,23.0,82.6,2.68,46.2,355.1,16529.73,9206.63,44.4
Odisha,2023_24,24.4,83.0,1.84,49.4,349.01,18849.4,8895.52,47.9
Odisha,2025,23.9,79.2,2.13,48.4,363.35,15749.44,8557.61,47.0
Puducherry,2022_23,17.3,53.6,2.78,42.5,321.01,13455.59,11324.58,40.1
Puducherry,2023_24,21.5,53.5,5.11,43.1,577.45,26943.87,20545.3,41.1
Puducherry,2025,15.5,47.3,5.81,43.3,637.21,19597.45,16772.62,41.0
Punjab,2022_23,21.5,74.7,2.72,42.3,405.36,13130.75,16617.85,39.7
Punjab,2023_24,19.1,73.0,1.93,43.7,445.44,13759.36,17202.85,41.3
Punjab,2025,19.3,75.0,2.64,43.7,484.32,13785.1,18340.42,41.4
Rajasthan,2022_23,13.9,77.3,1.42,45.4,423.26,14824.87,12291.02,43.4
Rajasthan,2023_24,12.5,75.0,1.89,47.3,440.97,17057.92,11452.83,45.3
Rajasthan,2025,13.6,75.9,1.84,47.9,472.8,19952.5,11571.39,45.7
Sikkim,2022_23,8.1,52.7,3.43,62.3,596.3,18322.49,9276.11,60.9
Sikkim,2023_24,7.5,53.9,3.88,61.7,590.34,23994.63,8574.99,60.2
Sikkim,2025,7.1,42.6,3.46,61.4,580.03,20509.65,10700.48,59.4
Tamil Nadu,2022_23,32.7,65.7,3.12,46.0,510.97,19110.73,15682.9,44.0
Tamil Nadu,2023_24,31.3,63.7,3.21,47.2,565.62,18234.3,12280.48,45.6
Tamil Nadu,2025,26.5,63.0,3.16,50.2,563.05,19618.81,14142.26,48.5
Telangana,2022_23,17.2,71.5,1.65,47.1,472.23,22381.16,18421.87,45.1
Telangana,2023_24,18.7,69.5,1.73,48.0,451.97,20231.28,16293.95,45.7
Telangana,2025,20.8,69.8,1.98,47.6,461.38,20580.45,16932.08,45.2
Tripura,2022_23,25.4,69.1,1.12,44.5,462.87,17667.49,13684.46,43.9
Tripura,2023_24,25.3,70.5,1.55,50.0,490.54,19688.61,11297.35,49.2
Tripura,2025,26.9,64.1,1.04,49.9,480.64,14505.67,11596.5,48.5
Uttar Pradesh,2022_23,16.0,84.6,1.23,38.7,375.37,19788.88,9234.51,37.8
Uttar Pradesh,2023_24,14.9,84.1,1.43,40.4,430.36,15109.33,10044.49,39.2
Uttar Pradesh,2025,17.7,85.2,1.44,39.6,428.56,15141.76,10430.94,38.5
Uttarakhand,2022_23,9.8,67.3,2.96,42.5,482.12,21293.83,14091.82,40.6
Uttarakhand,2023_24,12.2,62.3,5.57,46.2,437.91,15999.79,11125.7,44.2
Uttarakhand,2025,13.2,63.3,4.33,42.7,486.9,18176.8,12638.22,40.5
West Bengal,2022_23,24.1,80.2,2.45,45.1,351.94,10064.01,10540.02,44.1
West Bengal,2023_24,23.1,79.3,2.09,47.7,376.62,13901.37,8883.03,46.4
West Bengal,2025,22.4,78.5,2.86,46.9,364.94,13757.06,8846.02,45.6
